load,phase,episode,blocking_probability,fragmentation,utilisation,qkd_success_rate,mean_reward,blocked_route,blocked_qc,blocked_cc,blocked_dc,blocked_combination
120,offline,6,0.035333333333333335,0.40988009207961507,0.0755144144014436,0.9646666666666667,0.9293333333333333,0.0,0.0,0.0,0.035333333333333335,0.0
120,offline,7,0.04533333333333334,0.4421222537238122,0.07866415221523898,0.9546666666666667,0.9093333333333333,0.0,0.0,0.0,0.04533333333333334,0.0
120,offline,8,0.038,0.4381182999925093,0.07704468891968891,0.962,0.924,0.0,0.0,0.0,0.038,0.0
120,offline,9,0.04133333333333333,0.4420746040063747,0.07772407664966774,0.9586666666666667,0.9173333333333333,0.0,0.0,0.0,0.04133333333333333,0.0
120,offline,10,0.028666666666666667,0.4181915045241071,0.07562905132311448,0.9713333333333334,0.9426666666666667,0.0,0.0,0.0,0.028666666666666667,0.0
120,online,1,0.036,0.4369526382488889,0.07743410942062394,0.964,0.928,0.0,0.0,0.0,0.036,0.0
120,online,2,0.03266666666666666,0.43390947236871974,0.07570011582050694,0.9673333333333334,0.9346666666666666,0.0,0.0,0.0,0.03266666666666666,0.0
120,online,3,0.02666666666666667,0.4105764186588391,0.07397891695205479,0.9733333333333334,0.9466666666666667,0.0,0.0,0.0,0.02666666666666667,0.0
120,online,4,0.030666666666666665,0.4448208242147593,0.07818569224744,0.9693333333333334,0.9386666666666666,0.0,0.0,0.0,0.030666666666666665,0.0
120,online,5,0.034666666666666665,0.4314074848474183,0.07742875709791283,0.9653333333333334,0.9306666666666666,0.0,0.0,0.0,0.034666666666666665,0.0
120,online,6,0.02666666666666667,0.4291452802844425,0.07546123477929984,0.9733333333333334,0.9466666666666667,0.0,0.0,0.0,0.02666666666666667,0.0
120,online,7,0.03866666666666667,0.43074649650608926,0.0765831840422253,0.9613333333333334,0.9226666666666666,0.0,0.0,0.0,0.03866666666666667,0.0
120,online,8,0.03133333333333333,0.420883749184257,0.0756032538043894,0.9686666666666667,0.9373333333333334,0.0,0.0,0.0,0.03133333333333333,0.0
120,online,9,0.05,0.4386482894481351,0.07648200536062379,0.95,0.9,0.0,0.0,0.0,0.05,0.0
120,online,10,0.03333333333333333,0.4373249118364115,0.0770614703065134,0.9666666666666667,0.9333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0
120,eval,1,0.034,0.44596241443104906,0.0776508823134729,0.966,0.932,0.0,0.0,0.0,0.034,0.0
120,eval,2,0.024666666666666667,0.4285123137507621,0.07545499639249639,0.9753333333333334,0.9506666666666667,0.0,0.0,0.0,0.024666666666666667,0.0
120,eval,3,0.030666666666666665,0.4322875954959947,0.07417680393168272,0.9693333333333334,0.9386666666666666,0.0,0.0,0.0,0.030666666666666665,0.0
